"","name","district","hometown","party","leadership","committees","bio","url"
"73","Bill Dean","District 74","Xenia","Republican",NA,"Community and Family Advancement; Economic Development, Commerce, and Labor; Insurance; State and Local Government","State Representative Bill Dean is serving his first full term in the Ohio House of Representatives. He represents the 74th district, encompassing all of Madison County, as well as northeastern Clark and eastern Greene counties.","http://www.ohiohouse.gov/bill-dean"
"74","Kathleen Clyde","District 75","Kent","Democrat",NA,"Energy and Natural Resources; Government Accountability and Oversight; Higher Education and Workforce Development","State Representative Kathleen Clyde represents the 75th Ohio House District, which covers Central and Southern Portage County.  In addition to standing committee assignments, Clyde serves on the Ohio Ballot Board.","http://www.ohiohouse.gov/kathleen-clyde"
"75","Sarah LaTourette","District 76","Chesterland","Republican","Assistant Majority Floor Leader","Community and Family Advancement; Finance; Finance Subcommittee on Health and Human Services; Health; Rules and Reference","State Representative Sarah LaTourette is currently serving her second term in the Ohio House of Representatives. She represents the 76th Ohio House District, which includes most of Geauga and northern Portage counties. She is co-chair for the Commission on Infant Mortality and the Chair of Ohio Children’s Trust Fund. Additionally, Representative LaTourette is a member of both the Ohio Home Visiting Consortium and Ohio Advisory Council for Aging.","http://www.ohiohouse.gov/sarah-latourette"
"76","Tim Schaffer","District 77","Lancaster","Republican",NA,"Aging and Long Term Care; Energy and Natural Resources; Ways and Means","A lifelong resident of Central Ohio, Representative Tim Schaffer currently is serving his fourth non-consecutive term in the House of Representatives, serving the 77th House District, which encompasses most of Fairfield County.  Representative Schaffer's tenure in public office began when he was elected to the Ohio House of Representatives in 2000. After serving three terms he was elected to represent the 31st Ohio Senate District.","http://www.ohiohouse.gov/tim-schaffer"
"77","Ron Hood","District 78","Ashville","Republican",NA,"Community and Family Advancement; Economic Development, Commerce, and Labor; Education and Career Readiness; Rules and Reference","State Representative Ron Hood is serving his 7th non-consecutive term in the Ohio House.  Hood represents the 78th House District, which encompasses Hocking and Morgan counties, as well as portions of Athens, Fairfield, Muskingum and Pickaway counties.","http://www.ohiohouse.gov/ron-hood"
"78","J. Kyle Koehler","District 79","Springfield","Republican",NA,"Agriculture and Rural Development; Education and Career Readiness; Federalism and Interstate Relations","State Representative Kyle Koehler is serving his second term in the Ohio House. He represents the 79th District, which includes portions of Clark County.","http://www.ohiohouse.gov/j-koehler"
"79","Stephen A. Huffman","District 80","Tipp City","Republican",NA,"Education and Career Readiness; Health; Insurance","State Representative Stephen Huffman is serving his second term in the Ohio House. He represents the 80th District, which includes Miami County and portions of Darke County.","http://www.ohiohouse.gov/stephen-huffman"
"80","James M. Hoops","District 81","Napoleon","Republican",NA,"Agriculture and Rural Development; Energy and Natural Resources; Financial Institutions, Housing, and Urban Development; State and Local Government","State Representative Jim Hoops is serving his first term in the Ohio House, after being appointed during the 132nd General Assembly. He represents the 81st House District, which consists of Putnam, Henry and Williams counties, as well as part of Fulton County.","http://www.ohiohouse.gov/james-hoops"
"81","Craig S. Riedel","District 82","Defiance","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Economic Development, Commerce, and Labor; Finance; Higher Education and Workforce Development; Ways and Means","Representative Craig Riedel is currently serving his first term as state representative to the 82nd Ohio House District, which includes Defiance, Paulding and Van Wert counties, as well as part of Auglaize County.","http://www.ohiohouse.gov/craig-riedel"
"82","Robert Cole Sprague","District 83","Findlay","Republican",NA,"Finance; Finance Subcommittee on Health and Human Services","Robert Cole Sprague is currently serving his third elected term in the Ohio House of Representatives, following his appointment in February 2011. He serves the 83rd District, which consists of Hancock and Hardin Counties, as well as parts of Logan County. Sprague currently serves on the House Finance Committee and on the Finance Subcommittee on Health and Human Services. Additionally, he serves as the chair of the Herion, Opioids, Prevention, Education and Safety (HOPES) Committee; vice chair of the Financial Institutions, Housing, and Urban Development Committee; and as a board member on the Commission on Min...","http://www.ohiohouse.gov/robert-sprague"
"83","Keith Faber","District 84","Celina","Republican",NA,"Agriculture and Rural Development; Civil Justice","State Representative Keith Faber has dedicated the past 16 years to serving Ohioans in the Statehouse. He represents the 84th District, which encompasses Mercer County, as well as portions of Auglaize, Darke and Shelby counties. He most recently served two terms as the 94th President of the Senate and previously served three terms in the Ohio House of Representatives.","http://www.ohiohouse.gov/keith-faber"
"84","A. Nino Vitale","District 85","Urbana","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Community and Family Advancement","State Representative Nino Vitale is serving his second term in the Ohio House. He represents the 85th District, which is comprised of Champaign County and portions of Logan and Shelby counties.","http://www.ohiohouse.gov/nino-vitale"
"85","Dorothy Pelanda","District 86","Marysville","Republican",NA,"Aging and Long Term Care; Criminal Justice; Government Accountability and Oversight; Rules and Reference","Representative Dorothy Pelanda is serving her third term as a member of the Ohio House of Representatives after being appointed to serve during the 129th General Assembly. She proudly represents the 86th House District, which includes Union and Marion Counties. Representative Pelanda has served as the Majority Floor Leader, Majority Whip and Assistant Majority Whip.","http://www.ohiohouse.gov/dorothy-pelanda"
"86","Riordan T. McClain","District 87","Upper Sandusky","Republican",NA,"Agriculture and Rural Development; Government Accountability and Oversight; Higher Education and Workforce Development; Ways and Means","State Representative Riordan McClain is currently serving his first term in the Ohio House of Representatives, having been appointed during the 132nd General Assembly. He represents the 87th House District, which includes Wyandot, Crawford, and Morrow counties, as well as portions of Marion and Seneca counties.","http://www.ohiohouse.gov/riordan-mcclain"
"87","Bill Reineke","District 88","Tiffin","Republican","Assistant Majority Whip","Finance; Finance Subcommittee on Primary and Secondary Education; Financial Institutions, Housing, and Urban Development; Government Accountability and Oversight; Ways and Means","Representative Bill Reineke is currently serving his second term as state representative. He represents the 88th Ohio House District, which includes all of Sandusky County and portions of Seneca County.","http://www.ohiohouse.gov/bill-reineke"
"88","Steven M. Arndt","District 89","Port Clinton","Republican",NA,"Aging and Long Term Care; Economic Development, Commerce, and Labor; Finance; Finance Subcommittee on State Government and Agency Review; State and Local Government","State Representative Steven Arndt hails from Port Clinton, Ohio, which is located in Ottawa County. He represents the 89th House District, which encompasses both Erie and Ottawa counties.","http://www.ohiohouse.gov/steven-arndt"
"89","Terry Johnson","District 90","McDermott","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Health; Transportation and Public Safety","Terry A. Johnson, D.O., a 1991 graduate of the Ohio University College of Osteopathic Medicine, is state representative for Ohio’s 90th House District and is one of two physicians serving in the state’s General Assembly. As a legislator since 2010, he has sponsored important health-related laws, including one aimed at helping rein in the scourge of prescription drug abuse in Ohio.","http://www.ohiohouse.gov/terry-johnson"
"90","Shane Wilkin","District 91","Lynchburg","Republican",NA,"Education and Career Readiness; State and Local Government","State Representative Shane Wilkin is serving his first term in the Ohio House of Representatives after being appointed in June 2018. He represents the 91st Ohio House District, serving residents of Clinton, Highland, and Pike counties, as well as a portion of Ross County.","http://www.ohiohouse.gov/shane-wilkin"
"91","Gary Scherer","District 92","Circleville","Republican",NA,"Aging and Long Term Care; Finance; Finance Subcommittee on Agriculture Development and Natural Resources; Financial Institutions, Housing, and Urban Development; Rules and Reference; Ways and Means","State Representative Gary Scherer is currently serving his third term in the Ohio House of Representatives after being appointed to the 129th General Assembly. He represents the 92nd House District, which includes Fayette County, as well as portions of Pickaway and Ross counties. He serves as the Vice Chair of the Ways and Means Committee and is a member of the Finance Committee.","http://www.ohiohouse.gov/gary-scherer"
"92","Ryan Smith","District 93","Bidwell","Republican","Speaker of the House","Conference Committee on HB26; Conference Committee on HB49; Rules and Reference","State Representative Ryan Smith is serving his third term in the Ohio House of Representatives and was elected by his colleagues to serve as the 103rd Speaker of the House. Since 2012, he has proudly represented the citizens of the 93rd House District, which includes Jackson and Gallia counties, as well as portions of Lawrence and Vinton counties.","http://www.ohiohouse.gov/ryan-smith-r"
"93","Jay Edwards","District 94","Nelsonville, Ohio","Republican",NA,"Civil Justice; Energy and Natural Resources; Health; Higher Education and Workforce Development","State Representative Jay Edwards is serving his first term as state representative. He represents the 94th Ohio House District, which includes Athens, Meigs, Washington, and Vinton Counties.","http://www.ohiohouse.gov/jay-edwards"
"94","Andy Thompson","District 95","Marietta","Republican",NA,"Agriculture and Rural Development; Energy and Natural Resources; Finance; Finance Subcommittee on Agriculture Development and Natural Resources","State Representative Andy Thompson is serving his fourth term in the Ohio House of Representatives.  He represents the 95th District, which includes Carroll, Harrison and Noble counties, as well as portions of Washington and Belmont counties.","http://www.ohiohouse.gov/andy-thompson"
"95","Jack Cera","District 96","Bellaire","Democrat",NA,"Agriculture and Rural Development; Conference Committee on HB49; Congressional Redistricting Working Group; Finance; Ways and Means","State Representative Jack Cera, a native of Bellaire, Ohio (Belmont County) was tapped to serve the people of Eastern Ohio in the Ohio House of Representatives in December 2011.","http://www.ohiohouse.gov/jack-cera"
"96","Brian Hill","District 97","Zanesville","Republican",NA,"Agriculture and Rural Development; Government Accountability and Oversight; Public Utilities; State and Local Government","State Representative Brian D. Hill is currently serving his third term as a member of the Ohio House of Representatives, after being appointed to serve for the duration of the 129th General Assembly.  He represents the 97th House District, which includes Guernsey County and most of Muskingum County.","http://www.ohiohouse.gov/brian-hill"
"97","Al Landis","District 98","Dover","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Economic Development, Commerce, and Labor; Energy and Natural Resources","State Representative Al Landis is serving his fourth term in the Ohio House of Representatives. He represents the 98th district, which includes Tuscarawas County and a portion of Holmes County.","http://www.ohiohouse.gov/al-landis"
"98","John Patterson","District 99","Jefferson","Democrat",NA,"Agriculture and Rural Development; Education Oversight Committee, Joint; Education and Career Readiness; Finance; Finance Subcommittee on Primary and Secondary Education; Finance Subcommittee on State Government and Agency Review","State Representative John Patterson is currently serving in his third term in the Ohio House of Representatives.  He represents the 99th House District, which includes portions of Ashtabula and Geauga Counties.","http://www.ohiohouse.gov/john-patterson"
